"","year","location_abbr","state","effective_date","geo_location"
"13031",2016,"AZ","arizona",NA,"(34.865970280000454, -111.76381127699972)"
"13032",2016,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"13033",2016,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"13034",2016,"AZ","arizona","9/13/2013","(34.865970280000454, -111.76381127699972)"
"13035",2016,"WY","wyoming","3/13/2013","(43.23554134300048, -108.10983035299967)"
"13036",2016,"NJ","new jersey","3/12/2010","(40.13057004800049, -74.27369128799967)"
"13037",2016,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"13038",2016,"VA","virginia",NA,"(37.54268067400045, -78.45789046299967)"
"13039",2016,"WA","washington","6/28/2016","(47.52227862900048, -120.47001078999972)"
"13040",2016,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"13041",2016,"NM","new mexico","6/19/2015","(34.52088095200048, -106.24058098499967)"
"13042",2016,"MT","montana",NA,"(47.06652897200047, -109.42442064499971)"
"13043",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13044",2016,"NM","new mexico","6/19/2015","(34.52088095200048, -106.24058098499967)"
"13045",2016,"AZ","arizona",NA,"(34.865970280000454, -111.76381127699972)"
"13046",2016,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"13047",2016,"NJ","new jersey","3/12/2010","(40.13057004800049, -74.27369128799967)"
"13048",2016,"AR","arkansas",NA,"(34.74865012400045, -92.27449074299966)"
"13049",2016,"DC","district of columbia",NA,"(38.89037138500049, -77.03196112699965)"
"13050",2016,"UT","utah","5/11/2010","(39.360700171000474, -111.58713063499971)"
"13051",2016,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"13052",2016,"OK","oklahoma",NA,"(35.47203135600046, -97.52107021399968)"
"13053",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"13054",2016,"ME","maine",NA,"(45.254228894000505, -68.98503133599962)"
"13055",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"13056",2016,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"13057",2016,"UT","utah","7/1/2015","(39.360700171000474, -111.58713063499971)"
"13058",2016,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"13059",2016,"WV","west virginia","6/6/2014","(38.66551020200046, -80.71264013499967)"
"13060",2016,"MS","mississippi",NA,"(32.745510099000455, -89.53803082499968)"
"13061",2016,"NM","new mexico","6/19/2015","(34.52088095200048, -106.24058098499967)"
"13062",2016,"NC","north carolina","8/1/2013","(35.466220975000454, -79.15925046299964)"
"13063",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"13064",2016,"IL","illinois","1/1/2014","(40.48501028300046, -88.99771017799969)"
"13065",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13066",2016,"LA","louisiana",NA,"(31.31266064400046, -92.44568007099969)"
"13067",2016,"CT","connecticut","10/1/2014","(41.56266102000046, -72.64984095199964)"
"13068",2016,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"13069",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13070",2016,"AR","arkansas","5/1/2015","(34.74865012400045, -92.27449074299966)"
"13071",2016,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"13072",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"13073",2016,"WI","wisconsin","4/20/2012","(44.39319117400049, -89.81637074199966)"
"13074",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"13075",2016,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"13076",2016,"OR","oregon","5/26/2015","(44.56744942400047, -120.15503132599969)"
"13077",2016,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"13078",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"13079",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"13080",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"13081",2016,"SD","south dakota",NA,"(44.353130053000484, -100.3735306369997)"
"13082",2016,"HI","hawaii","6/27/2013","(21.304850435000446, -157.85774940299973)"
"13083",2016,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"13084",2016,"RI","rhode island",NA,"(41.70828019300046, -71.52247031399963)"
"13085",2016,"CT","connecticut",NA,"(41.56266102000046, -72.64984095199964)"
"13086",2016,"NE","nebraska","4/9/2014","(41.6410409880005, -99.36572062299967)"
"13087",2016,"HI","hawaii","6/27/2013","(21.304850435000446, -157.85774940299973)"
"13088",2016,"WA","washington","6/28/2016","(47.52227862900048, -120.47001078999972)"
"13089",2016,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"13090",2016,"DE","delaware","6/12/2014","(39.008830667000495, -75.57774116799965)"
"13091",2016,"KS","kansas","7/1/2012","(38.34774030000045, -98.20078122699965)"
"13092",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13093",2016,"HI","hawaii","1/1/2016","(21.304850435000446, -157.85774940299973)"
"13094",2016,"DE","delaware","6/12/2014","(39.008830667000495, -75.57774116799965)"
"13095",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"13096",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"13097",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"13098",2016,"NJ","new jersey",NA,"(40.13057004800049, -74.27369128799967)"
"13099",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"13100",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13101",2016,"AZ","arizona",NA,"(34.865970280000454, -111.76381127699972)"
"13102",2016,"RI","rhode island",NA,"(41.70828019300046, -71.52247031399963)"
"13103",2016,"VA","virginia","7/1/2014","(37.54268067400045, -78.45789046299967)"
"13104",2016,"ME","maine",NA,"(45.254228894000505, -68.98503133599962)"
"13105",2016,"CT","connecticut",NA,"(41.56266102000046, -72.64984095199964)"
"13106",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13107",2016,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"13108",2016,"CA","california",NA,"(37.63864012300047, -120.99999953799971)"
"13109",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"13110",2016,"CO","colorado",NA,"(38.843840757000464, -106.13361092099967)"
"13111",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"13112",2016,"NE","nebraska","4/9/2014","(41.6410409880005, -99.36572062299967)"
"13113",2016,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"13114",2016,"KY","kentucky","4/10/2014","(37.645970271000465, -84.77497104799966)"
"13115",2016,"NY","new york","1/1/2013","(42.82700103200045, -75.54397042699964)"
"13116",2016,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"13117",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"13118",2016,"TX","texas","10/1/2015","(31.827240407000488, -99.42677020599967)"
"13119",2016,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"13120",2016,"DC","district of columbia",NA,"(38.89037138500049, -77.03196112699965)"
"13121",2016,"UT","utah",NA,"(39.360700171000474, -111.58713063499971)"
"13122",2016,"IN","indiana",NA,"(39.766910452000445, -86.14996019399968)"
"13123",2016,"SC","south carolina","6/7/2013","(33.998821303000454, -81.04537120699968)"
"13124",2016,"OK","oklahoma",NA,"(35.47203135600046, -97.52107021399968)"
"13125",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"13126",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"13127",2016,"KS","kansas","7/1/2012","(38.34774030000045, -98.20078122699965)"
"13128",2016,"NE","nebraska","4/9/2014","(41.6410409880005, -99.36572062299967)"
"13129",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"13130",2016,"IA","iowa",NA,"(42.46940091300047, -93.81649055599968)"
"13131",2016,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"13132",2016,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"13133",2016,"KS","kansas","7/1/2012","(38.34774030000045, -98.20078122699965)"
"13134",2016,"WA","washington",NA,"(47.52227862900048, -120.47001078999972)"
"13135",2016,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"13136",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"13137",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"13138",2016,"RI","rhode island","1/1/2015","(41.70828019300046, -71.52247031399963)"
"13139",2016,"NV","nevada","10/1/2015","(39.493240390000494, -117.07184056399967)"
"13140",2016,"WA","washington","6/28/2016","(47.52227862900048, -120.47001078999972)"
"13141",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"13142",2016,"TN","tennessee","7/1/2015","(35.68094058000048, -85.77449091399967)"
"13143",2016,"NJ","new jersey",NA,"(40.13057004800049, -74.27369128799967)"
"13144",2016,"AR","arkansas","5/1/2015","(34.74865012400045, -92.27449074299966)"
"13145",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"13146",2016,"VA","virginia","7/1/2014","(37.54268067400045, -78.45789046299967)"
"13147",2016,"AR","arkansas",NA,"(34.74865012400045, -92.27449074299966)"
